,Mean,MRN1 [10/2],IPCAS8 [13/2],NKI24 [20/2],NKI1 [20/2],BNU1 [57/2],XHCUMS [24/5],HNU1 [30/10],SWU4 [235/2]
Glasser [360],0.960397109446807,0.908333333333333,0.971153846153846,0.994281045751634,0.992763157894737,0.978383458646617,0.95966513351964,0.995523627075351,0.927092114610466
Schaefer1000,0.954432711328701,0.925,0.91025641025641,0.986111111111111,0.985526315789473,0.962562656641604,0.948125291103866,0.995614303959131,0.925470044991712
Schaefer300,0.952760206475566,0.875,0.897435897435897,0.995915032679739,0.994078947368421,0.972431077694236,0.956581685130969,0.996411238825032,0.917720814586787
Schaefer400,0.952632101600657,0.883333333333333,0.907051282051282,0.98937908496732,0.988157894736842,0.969298245614035,0.947755693159891,0.996102171136654,0.920556476438551
Schaefer200,0.951621427183857,0.833333333333333,0.905448717948718,0.992647058823529,0.992763157894737,0.978853383458647,0.952778967607071,0.993914431673052,0.917347856973715
AICHA [384],0.947746069660946,0.891666666666667,0.884615384615385,1.0,1.0,0.953790726817043,0.955390411870384,0.993893997445722,0.911771252663983
CAPRSC [333],0.945211049606759,0.858333333333333,0.902243589743589,0.984477124183006,0.984210526315789,0.953399122807017,0.927180887783618,0.990630906768838,0.917762254321572
Destrieux [75],0.939254161853878,0.9,0.951923076923077,0.962418300653595,0.967763157894737,0.950501253132832,0.941147635404884,0.983984674329502,0.9004641250296
DS00278,0.934094423786713,0.783333333333333,0.878205128205128,0.997549019607843,0.998026315789473,0.955200501253133,0.949879365171779,0.969744572158365,0.901091641013497
CPAC200,0.93238532020575,0.866666666666667,0.892628205128205,1.0,1.0,0.972587719298246,0.952053633807971,0.989375478927203,0.872030547004499
Brodmann [40],0.93082426298797,0.991666666666667,0.939102564102564,0.996732026143791,0.996710526315789,0.94000626566416,0.941882499390068,0.954375478927203,0.895017759886337
DKT [84],0.930435806699338,0.833333333333333,0.870192307692308,0.996732026143791,0.996710526315789,0.948308270676692,0.925547933717036,0.962547892720307,0.904164101349751
Talairach [1105],0.927639131541696,0.816666666666667,0.836538461538462,1.0,1.0,0.932722431077694,0.936609360791359,0.95305619412516,0.908367274449444
Desikan [70],0.926628325790949,0.883333333333333,0.822115384615385,0.994281045751634,0.996052631578947,0.928728070175439,0.942155409264311,0.968117496807152,0.893697608335307
HOC [48],0.926642461800074,0.833333333333333,0.9375,0.984477124183006,0.982894736842105,0.948934837092732,0.935805186361923,0.953597701149425,0.893460809850817
Slab907,0.925792709774988,0.975,0.86698717948718,0.963235294117647,0.967105263157895,0.924342105263158,0.910805255672367,0.976205619412516,0.89183282026995
AAL [116],0.921419620189735,0.825,0.842948717948718,0.999183006535948,0.999342105263158,0.946193609022556,0.947710814647238,0.957561941251596,0.881715605020128
Hammersmith [83],0.920061712300581,0.766666666666667,0.857371794871795,0.98202614379085,0.986842105263158,0.934602130325814,0.902217518353405,0.956896551724138,0.897912621359223
Slab1068,0.913979012372542,0.925,0.831730769230769,0.994281045751634,0.993421052631579,0.90906954887218,0.922655608878391,0.959618135376756,0.875653563817191
DS00195,0.90558808443815,0.85,0.911858974358974,1.0,1.0,0.961309523809524,0.949094424390622,0.913390804597701,0.860516220696188
DS00096,0.905536562919994,0.816666666666667,0.884615384615385,0.995915032679739,0.995394736842105,0.953320802005012,0.918276921562756,0.887425287356322,0.894295524508643
Yeo-17-lib,0.902908137582342,0.891666666666667,0.916666666666667,0.941993464052288,0.950657894736842,0.9390664160401,0.900791109410695,0.930789272030651,0.866400663035757
DS00071,0.902919803682931,0.8,0.866987179487179,0.995098039215686,0.995394736842105,0.951754385964912,0.939178005855346,0.889690932311622,0.883112716078617
MICCAI [136],0.898906135835056,0.75,0.782051282051282,0.996732026143791,0.998026315789473,0.919251253132832,0.897388659702353,0.898416347381865,0.89700686715605
Yeo-17,0.894582229477393,0.933333333333333,0.846153846153846,0.93218954248366,0.9375,0.915256892230576,0.902486789429326,0.913312899106002,0.870153919014918
DS00108,0.886363936009161,0.775,0.884615384615385,1.0,0.998684210526316,0.972979323308271,0.940486587042828,0.841077905491698,0.868218091404215
DS00140,0.872131174061706,0.783333333333333,0.921474358974359,1.0,1.0,0.954573934837093,0.941678899960077,0.834418901660281,0.837315889178309
HOS [48],0.865542677261997,0.625,0.778846153846154,0.937091503267974,0.930263157894737,0.878916040100251,0.844218711879256,0.866941251596424,0.875659483779304
JHU [48],0.84302491581888,0.758333333333333,0.780448717948718,0.986928104575163,0.990789473684211,0.934758771929825,0.884656677645441,0.848840357598978,0.790139711105849
DesikanKlein [97],0.824205193210577,0.575,0.671474358974359,0.964052287581699,0.965131578947368,0.863095238095238,0.797431216315124,0.794112388250319,0.846906227800142
Yeo-7-lib,0.780943608572781,0.891666666666667,0.746794871794872,0.901960784313725,0.903947368421053,0.786380012531328,0.743511156209107,0.778323116219668,0.771435590812219
Yeo-7,0.77011074340059,0.841666666666667,0.698717948717949,0.800245098039216,0.824671052631579,0.78015350877193,0.730182237951072,0.778602809706258,0.76920672507696
Juelich [103],0.737371586920949,0.575,0.623397435897436,0.968954248366013,0.970394736842105,0.793233082706767,0.848504523199592,0.730116219667944,0.679489699265925
Princetonvisual [49],0.543685140311508,0.633333333333333,0.455128205128205,0.906862745098039,0.910526315789474,0.557135025062657,0.508666144759022,0.54200319284802,0.499905280606204
Tissue [3],0.539207776573186,0.5,0.560897435897436,0.506535947712418,0.506578947368421,0.550595238095238,0.532980335240757,0.523258620689655,0.553856855316126
dsizes,60.0,49.0,56.0,68.0,70.0,124.0,127.0,290.0,400.0
